time,x,y,z
9.142000,1.179934,0.212159,0.856415
9.175000,1.177305,0.211191,0.858421
9.208000,1.174276,0.211573,0.860289
9.242000,1.174276,0.211573,0.860289
9.275000,1.172094,0.211839,0.860350
9.308000,1.169872,0.212602,0.859556
9.343000,1.169567,0.212814,0.859401
9.375000,1.168298,0.213823,0.859283
9.409000,1.167613,0.213554,0.859452
9.442000,1.167656,0.214038,0.859729
9.475000,1.168847,0.214281,0.859552
9.508000,1.169970,0.213980,0.858229
9.543000,1.169970,0.213980,0.858229
9.575000,1.171511,0.214153,0.856493
9.608000,1.173590,0.215161,0.852149
9.642000,1.174334,0.215816,0.851305
9.676000,1.175545,0.218738,0.846051
9.708000,1.176864,0.223289,0.837586
9.742000,1.177013,0.223947,0.836560
9.776000,1.180316,0.231702,0.820409
9.808000,1.181036,0.238828,0.807960
9.842000,1.181036,0.238828,0.807960
9.875000,1.181745,0.247351,0.789524
9.908000,1.181828,0.256451,0.771060
9.942000,1.181894,0.258064,0.767738
9.975000,1.181716,0.265884,0.750958
10.008000,1.181716,0.265884,0.750958
10.042000,1.180497,0.272878,0.735947
10.075000,1.178561,0.276998,0.723848
10.108000,1.177635,0.277843,0.721619
10.142000,1.175297,0.279515,0.716762
10.175000,1.170390,0.282008,0.708168
10.208000,1.169792,0.282522,0.706122
10.243000,1.167901,0.282553,0.700421
10.275000,1.166617,0.281218,0.696200
10.308000,1.166617,0.281218,0.696200
10.343000,1.168599,0.279109,0.695708
10.375000,1.173375,0.275147,0.698325
10.408000,1.176555,0.272059,0.699871
10.442000,1.179649,0.268418,0.701981
10.475000,1.192496,0.254966,0.712836
10.508000,1.197480,0.249287,0.717933
10.542000,1.207647,0.236369,0.730787
10.576000,1.215698,0.223552,0.743924
10.608000,1.215698,0.223552,0.743924
10.643000,1.220537,0.214224,0.755185
10.675000,1.224386,0.204594,0.766547
10.708000,1.226314,0.198468,0.774258
10.742000,1.227093,0.195266,0.778613
10.775000,1.229168,0.186366,0.790742
10.808000,1.232260,0.178511,0.801442
10.842000,1.236326,0.176052,0.816784
10.875000,1.236326,0.176052,0.816784
10.908000,1.235913,0.176589,0.821504
10.942000,1.235252,0.177228,0.821360
10.975000,1.234866,0.176916,0.821656
11.009000,1.234083,0.177442,0.823868
11.045000,1.233324,0.178779,0.825627
11.075000,1.233324,0.178779,0.825627
11.109000,1.232670,0.179779,0.824841
11.143000,1.232180,0.182214,0.820964
11.175000,1.232260,0.182519,0.819949
11.208000,1.232817,0.185165,0.811474
11.242000,1.232910,0.188495,0.797592
11.275000,1.232665,0.191626,0.785570
11.308000,1.229060,0.198733,0.761243
11.342000,1.228802,0.198980,0.760302
