time,x,y,z
6.910000,1.122523,-0.250978,0.641870
6.942000,1.124963,-0.252141,0.643583
6.975000,1.131923,-0.255247,0.649044
7.008000,1.141129,-0.258734,0.657222
7.042000,1.148120,-0.261394,0.664515
7.075000,1.158680,-0.264650,0.678889
7.108000,1.168065,-0.267127,0.693652
7.142000,1.168245,-0.267170,0.693959
7.176000,1.175195,-0.268957,0.708616
7.209000,1.178012,-0.269236,0.722244
7.242000,1.178685,-0.268456,0.727389
7.275000,1.179719,-0.264658,0.734529
7.308000,1.180417,-0.256211,0.745614
7.342000,1.180951,-0.249688,0.756891
7.375000,1.181053,-0.245647,0.769833
7.408000,1.181053,-0.245647,0.769833
7.443000,1.178992,-0.239349,0.787205
7.475000,1.174307,-0.233321,0.801432
7.508000,1.170459,-0.229282,0.808936
7.543000,1.167174,-0.225858,0.814060
7.576000,1.165050,-0.222887,0.814120
7.609000,1.165050,-0.222887,0.814120
7.642000,1.164025,-0.220719,0.810370
7.675000,1.162348,-0.217497,0.805194
7.708000,1.162348,-0.217497,0.805194
7.742000,1.160865,-0.215820,0.802085
7.775000,1.160179,-0.215284,0.801189
7.808000,1.160089,-0.214295,0.800806
7.843000,1.159550,-0.214537,0.801528
7.875000,1.159361,-0.215017,0.801725
7.908000,1.158725,-0.214787,0.802435
7.942000,1.157623,-0.214738,0.803308
7.976000,1.156169,-0.214535,0.804570
8.008000,1.156169,-0.214535,0.804570
8.042000,1.153556,-0.214211,0.803926
8.075000,1.151821,-0.213629,0.803379
8.108000,1.150141,-0.213409,0.802471
8.143000,1.147443,-0.212017,0.800357
8.175000,1.147165,-0.211916,0.800037
8.208000,1.145754,-0.210532,0.797876
8.242000,1.144714,-0.209530,0.796386
8.275000,1.144340,-0.207717,0.795369
8.308000,1.143993,-0.207398,0.794804
8.342000,1.143722,-0.207109,0.794568
8.376000,1.142495,-0.207275,0.794091
8.408000,1.141946,-0.206990,0.793521
8.442000,1.137580,-0.203556,0.787777
8.475000,1.137471,-0.203449,0.787618
8.508000,1.133689,-0.199341,0.779290
8.542000,1.131589,-0.194787,0.760918
8.575000,1.129844,-0.191599,0.748554
8.608000,1.126059,-0.185343,0.725011
8.642000,1.125621,-0.184816,0.722557
8.676000,1.122703,-0.180090,0.705718
8.708000,1.123521,-0.178494,0.695359
8.742000,1.129415,-0.181656,0.694570
8.775000,1.130834,-0.182665,0.695199
8.808000,1.137577,-0.187043,0.698812
8.842000,1.147267,-0.194042,0.705386
8.875000,1.154437,-0.198739,0.710659
8.908000,1.165537,-0.206448,0.721227
8.942000,1.165537,-0.206448,0.721227
8.975000,1.174533,-0.214376,0.730963
9.008000,1.175833,-0.222763,0.731664
9.042000,1.174489,-0.228238,0.729267
9.075000,1.173306,-0.230621,0.728470
9.108000,1.171428,-0.234461,0.726504
9.142000,1.167325,-0.240412,0.723308
9.175000,1.163003,-0.245049,0.721993
9.208000,1.158380,-0.249972,0.722134
9.242000,1.158380,-0.249972,0.722134
9.275000,1.154957,-0.248389,0.723438
9.308000,1.152171,-0.243059,0.730408
9.343000,1.151509,-0.242409,0.731996
9.375000,1.148844,-0.233818,0.740085
9.409000,1.146801,-0.229501,0.743103
9.442000,1.144551,-0.222358,0.747360
9.475000,1.138558,-0.209605,0.754395
9.508000,1.131772,-0.199886,0.759393
9.543000,1.131772,-0.199886,0.759393
9.575000,1.126130,-0.191301,0.764654
9.608000,1.121767,-0.182663,0.769540
9.642000,1.121810,-0.182608,0.768467
9.676000,1.125369,-0.183318,0.769399
9.708000,1.132618,-0.188078,0.775520
9.742000,1.133500,-0.188678,0.776378
9.776000,1.142420,-0.194738,0.786161
9.808000,1.150866,-0.199944,0.796007
9.842000,1.150866,-0.199944,0.796007
9.875000,1.162192,-0.207138,0.810654
9.908000,1.170043,-0.213846,0.821641
9.942000,1.171254,-0.214975,0.823245
9.975000,1.175830,-0.221689,0.828640
10.008000,1.175830,-0.221689,0.828640
10.042000,1.178677,-0.225497,0.827866
10.075000,1.179963,-0.224473,0.823619
10.108000,1.179165,-0.223288,0.822903
10.142000,1.177286,-0.220908,0.819275
10.175000,1.173130,-0.215077,0.811441
10.208000,1.171584,-0.213514,0.808554
10.243000,1.167587,-0.209075,0.800584
10.275000,1.163501,-0.202568,0.791956
10.308000,1.163501,-0.202568,0.791956
10.343000,1.159592,-0.198756,0.785088
10.375000,1.156766,-0.194832,0.780393
10.408000,1.155170,-0.192929,0.777805
10.442000,1.153742,-0.191325,0.775853
10.475000,1.150469,-0.186972,0.771934
10.508000,1.149245,-0.187262,0.771159
10.542000,1.147594,-0.184718,0.770663
10.576000,1.145961,-0.185238,0.770818
10.608000,1.145961,-0.185238,0.770818
10.643000,1.144903,-0.184118,0.771064
10.675000,1.143945,-0.183875,0.771325
10.708000,1.143231,-0.183934,0.771090
10.742000,1.142479,-0.184392,0.771072
10.775000,1.141873,-0.183987,0.771100
10.808000,1.140799,-0.183916,0.771443
10.842000,1.140391,-0.184142,0.772431
10.875000,1.140391,-0.184142,0.772431
10.908000,1.140739,-0.185372,0.774193
10.942000,1.141042,-0.186230,0.775335
10.975000,1.141612,-0.187198,0.776548
11.009000,1.143461,-0.188752,0.780170
11.045000,1.145355,-0.191898,0.784417
11.075000,1.145355,-0.191898,0.784417
11.109000,1.148009,-0.195056,0.790180
11.143000,1.150352,-0.197681,0.795204
11.175000,1.150575,-0.198051,0.795672
11.208000,1.152190,-0.200460,0.799255
11.242000,1.154453,-0.203185,0.803509
11.275000,1.156081,-0.205127,0.806118
11.308000,1.161103,-0.210295,0.806828
11.342000,1.161302,-0.210541,0.806809
