time,x,y,z
7.166595,0.547465,0.471671,2.265284
7.199928,0.562192,0.483658,2.240957
7.233261,0.578763,0.498229,2.198722
7.266594,0.593415,0.516533,2.139850
7.299927,0.600402,0.538413,2.068979
7.333260,0.594494,0.562865,1.991623
7.366593,0.573134,0.588493,1.915225
7.399926,0.537119,0.614197,1.845971
7.433259,0.490168,0.638980,1.788322
7.466592,0.437178,0.663060,1.744203
7.499925,0.383263,0.686389,1.713501
7.533258,0.333683,0.709269,1.694811
7.566591,0.291778,0.730745,1.685491
7.599924,0.259401,0.749903,1.682382
7.633257,0.238478,0.764076,1.682639
7.666590,0.227952,0.771847,1.684389
7.699923,0.227706,0.772888,1.687657
7.733256,0.238003,0.769083,1.694290
7.766589,0.258718,0.760540,1.706158
7.799922,0.288153,0.747086,1.723387
7.833255,0.322818,0.730771,1.746403
7.866588,0.362175,0.713070,1.775604
7.899921,0.404518,0.694402,1.810895
7.933254,0.445142,0.675881,1.850448
7.966587,0.482260,0.657474,1.892949
7.999920,0.513335,0.639985,1.935383
8.033253,0.536962,0.622802,1.974816
8.066586,0.553880,0.605610,2.010477
8.099919,0.566001,0.586969,2.043518
8.133252,0.574189,0.566868,2.074867
8.166585,0.579128,0.545090,2.106808
8.199918,0.581790,0.521956,2.140907
8.233251,0.582398,0.497137,2.177684
8.266584,0.580576,0.471334,2.214619
8.299917,0.575834,0.445991,2.250815
8.333250,0.569321,0.422443,2.287174
8.366583,0.561153,0.402158,2.322985
8.399916,0.552634,0.386888,2.356964
8.433249,0.544790,0.376808,2.390518
8.466582,0.538519,0.372638,2.422311
8.499915,0.535460,0.375247,2.452144
8.533248,0.529458,0.385671,2.491521
8.566581,0.533886,0.399904,2.511879
8.599914,0.541251,0.418127,2.528230
8.633247,0.550137,0.438531,2.540598
8.666580,0.559028,0.458153,2.549956
8.699913,0.567160,0.473938,2.557356
8.733246,0.573891,0.483289,2.564563
8.766579,0.579070,0.484321,2.572185
8.799912,0.581273,0.477071,2.581285
8.833245,0.580635,0.460929,2.592487
8.866578,0.576559,0.439275,2.602762
8.899911,0.569632,0.414082,2.611996
8.933244,0.560161,0.386786,2.621044
8.966577,0.548816,0.359568,2.629757
8.999910,0.536062,0.335597,2.636998
9.033243,0.523304,0.310096,2.647424
9.066576,0.509938,0.285696,2.660671
9.099909,0.497026,0.262480,2.673728
9.133242,0.485921,0.240540,2.684914
9.166575,0.478539,0.220914,2.692887
9.199908,0.499947,0.204893,2.675444
9.233241,0.505695,0.193872,2.674651
9.266574,0.517367,0.188027,2.670325
9.299907,0.536641,0.187454,2.662964
9.333240,0.562860,0.193842,2.650040
9.366573,0.594524,0.206031,2.631518
9.399906,0.627525,0.221950,2.607712
9.433239,0.659402,0.240044,2.578283
9.466572,0.688325,0.258176,2.544600
9.499905,0.713050,0.270431,2.511376
9.533238,0.733307,0.281116,2.476438
9.566571,0.748550,0.289276,2.441134
9.599904,0.759621,0.294757,2.406785
9.633237,0.766701,0.298232,2.375242
9.666570,0.770056,0.299789,2.347530
9.699903,0.769779,0.300356,2.322843
9.733236,0.765813,0.300443,2.301054
9.766569,0.757796,0.301688,2.280046
9.799902,0.745012,0.305115,2.258694
9.833235,0.727103,0.311075,2.237206
9.866568,0.704044,0.319661,2.216156
9.899901,0.676194,0.330396,2.196141
9.933234,0.644386,0.342376,2.178339
9.966567,0.609697,0.354771,2.163282
9.999900,0.573637,0.367035,2.150947
10.033233,0.538285,0.378543,2.141665
10.066566,0.506403,0.388025,2.135104
10.099899,0.479341,0.395079,2.130726
10.133232,0.458397,0.399287,2.128538
10.166565,0.443482,0.401600,2.127693
10.199898,0.433789,0.402184,2.127442
10.233231,0.428223,0.401094,2.127674
10.266564,0.425114,0.398552,2.128322
10.299897,0.423379,0.394945,2.129263
10.333230,0.422473,0.390347,2.130877
10.366563,0.422112,0.385046,2.133435
10.399896,0.421592,0.378182,2.137193
10.433229,0.420924,0.369622,2.140821
10.466562,0.420844,0.359908,2.144502
10.499895,0.421387,0.349246,2.146560
10.533228,0.423132,0.338508,2.145941
10.566561,0.426626,0.328768,2.140964
10.599894,0.432080,0.321899,2.129382
10.633227,0.435913,0.325964,2.100248
10.666560,0.438813,0.333979,2.063878
10.699893,0.439747,0.345660,2.021406
10.733226,0.437717,0.360406,1.974311
10.766559,0.431950,0.377203,1.924350
10.799892,0.422092,0.394581,1.873413
10.833225,0.408347,0.410659,1.823316
