time,x,y,z
3.433299,0.463453,-0.646139,1.786687
3.466632,0.497035,-0.629780,1.814424
3.499965,0.525573,-0.614735,1.845343
3.533298,0.548794,-0.601934,1.878701
3.566631,0.566900,-0.591995,1.911128
3.599964,0.578803,-0.584480,1.939398
3.633297,0.585568,-0.578643,1.961638
3.666630,0.590206,-0.573643,1.981071
3.699963,0.591694,-0.569924,1.996748
3.733296,0.590186,-0.567538,2.009241
3.766629,0.586971,-0.566564,2.021156
3.799962,0.582946,-0.566202,2.031951
3.833295,0.578846,-0.565981,2.041667
3.866628,0.575047,-0.566608,2.049832
3.899961,0.571753,-0.567277,2.055077
3.933294,0.568479,-0.567545,2.053528
3.966627,0.565126,-0.567157,2.046214
3.999960,0.561365,-0.565931,2.033885
4.033293,0.556471,-0.563998,2.016801
4.066626,0.550398,-0.560379,1.994763
4.099959,0.541704,-0.558648,1.967271
4.133292,0.532385,-0.562731,1.940832
4.166625,0.522556,-0.576250,1.915037
4.199958,0.516087,-0.600069,1.897569
4.233291,0.514237,-0.632478,1.890549
4.266624,0.516370,-0.670535,1.892867
4.299957,0.521959,-0.711248,1.904930
4.333290,0.529944,-0.751999,1.925963
4.366623,0.538606,-0.789569,1.953607
4.399956,0.546956,-0.821683,1.985649
4.433289,0.554908,-0.846799,2.022918
4.466622,0.562251,-0.862777,2.063487
4.499955,0.568374,-0.868119,2.103247
4.533288,0.574201,-0.862660,2.140260
4.566621,0.582199,-0.849476,2.171723
4.599954,0.595001,-0.829669,2.198488
4.633287,0.612794,-0.805649,2.217412
4.666620,0.636334,-0.775582,2.235111
4.699953,0.664616,-0.738149,2.249389
4.733286,0.695206,-0.692875,2.260457
4.766619,0.724793,-0.640957,2.268043
4.799952,0.749995,-0.585487,2.271728
4.833285,0.768593,-0.530277,2.271708
4.866618,0.778380,-0.481520,2.266772
4.899951,0.780066,-0.442926,2.255624
4.933284,0.773702,-0.417585,2.239557
4.966617,0.758450,-0.410003,2.216660
4.999950,0.735448,-0.419551,2.187514
5.033283,0.705207,-0.443317,2.150996
5.066616,0.667767,-0.474033,2.109306
5.099949,0.621732,-0.510281,2.061308
5.133282,0.568548,-0.547261,2.009345
5.166615,0.507058,-0.581515,1.954336
5.199948,0.438319,-0.610633,1.899951
5.233281,0.364116,-0.632100,1.848637
5.266614,0.287711,-0.646294,1.803890
5.299947,0.213385,-0.652651,1.767226
5.333280,0.143069,-0.653262,1.738853
5.366613,0.082066,-0.648958,1.718743
5.399946,0.033028,-0.642661,1.706563
5.433279,-0.003985,-0.636152,1.699657
5.466612,-0.028101,-0.629987,1.696356
5.499945,-0.040933,-0.626288,1.696204
5.533278,-0.038950,-0.623572,1.697724
5.566611,-0.028200,-0.622014,1.699924
5.599944,-0.009406,-0.621691,1.703780
5.633277,0.011714,-0.621318,1.708158
5.666610,0.034127,-0.620400,1.713110
5.699943,0.055483,-0.618830,1.718179
5.733276,0.074308,-0.617870,1.723255
5.766609,0.088821,-0.616447,1.727489
5.799942,0.097651,-0.614574,1.730396
5.833275,0.101374,-0.611764,1.731487
5.866608,0.101186,-0.607849,1.731010
5.899941,0.098611,-0.602715,1.729364
5.933274,0.094052,-0.595885,1.726647
5.966607,0.089640,-0.587472,1.723719
5.999940,0.087865,-0.577265,1.721429
6.033273,0.089188,-0.564302,1.719220
6.066606,0.093822,-0.549812,1.718144
6.099939,0.101202,-0.533042,1.717102
6.133272,0.112216,-0.515226,1.717003
6.166605,0.126213,-0.499383,1.717882
6.199938,0.142711,-0.487118,1.719927
6.233271,0.161498,-0.478088,1.722913
6.266604,0.182027,-0.473301,1.727039
6.299937,0.205089,-0.473404,1.733464
6.333270,0.231997,-0.474857,1.742906
6.366603,0.262836,-0.475682,1.757459
6.399936,0.295458,-0.473488,1.777710
6.433269,0.333036,-0.464170,1.806572
6.466602,0.374345,-0.447522,1.846081
6.499935,0.417044,-0.423637,1.898375
6.533268,0.458121,-0.392943,1.966097
6.566601,0.492108,-0.356802,2.051054
6.599934,0.512179,-0.318607,2.153772
6.633267,0.510741,-0.281753,2.269023
6.666600,0.449994,-0.228730,2.478830
6.699933,0.416448,-0.212721,2.523688
6.733266,0.385909,-0.200369,2.558428
6.766599,0.360260,-0.192885,2.585545
6.799932,0.340440,-0.188940,2.606295
6.833265,0.326589,-0.188461,2.619737
6.866598,0.317405,-0.190058,2.627560
6.899931,0.310939,-0.191832,2.631522
6.933264,0.306175,-0.193220,2.632781
6.966597,0.302508,-0.193560,2.631807
6.999930,0.299641,-0.193384,2.629214
7.033263,0.297956,-0.194216,2.625169
7.066596,0.298213,-0.197520,2.619660
7.099929,0.300783,-0.204547,2.612878
7.133262,0.305562,-0.216731,2.605034
7.166595,0.312123,-0.235248,2.596518
7.199928,0.319785,-0.260993,2.587878
7.233261,0.326837,-0.294274,2.580020
7.266594,0.331212,-0.333647,2.572551
7.299927,0.331418,-0.376294,2.564475
7.333260,0.326184,-0.419538,2.556308
7.366593,0.315921,-0.459671,2.547968
7.399926,0.301571,-0.493598,2.540051
7.433259,0.284773,-0.519255,2.533226
7.466592,0.267676,-0.536241,2.527810
7.499925,0.252071,-0.545447,2.523663
7.533258,0.240516,-0.547915,2.520339
7.566591,0.231512,-0.546097,2.517012
7.599924,0.224336,-0.541771,2.512806
7.633257,0.219355,-0.536474,2.507614
7.666590,0.215677,-0.533323,2.501811
7.699923,0.212230,-0.533427,2.497400
7.733256,0.208861,-0.538294,2.493724
7.766589,0.206419,-0.547574,2.492891
7.799922,0.204291,-0.560900,2.494571
7.833255,0.202941,-0.577211,2.497425
7.866588,0.201199,-0.595357,2.499397
7.899921,0.198799,-0.614095,2.497130
7.933254,0.195949,-0.630343,2.489937
7.966587,0.193082,-0.647712,2.464448
7.999920,0.191080,-0.659294,2.430181
8.033253,0.189287,-0.662710,2.388373
8.066586,0.190951,-0.655871,2.340176
8.099919,0.199386,-0.637835,2.288512
8.133252,0.214798,-0.610451,2.237339
8.166585,0.239232,-0.575244,2.191380
8.199918,0.273090,-0.535230,2.154138
8.233251,0.315826,-0.493067,2.128533
8.266584,0.360169,-0.453358,2.111562
8.299917,0.403535,-0.418451,2.100872
8.333250,0.442646,-0.390238,2.091528
8.366583,0.476002,-0.369250,2.078512
8.399916,0.502472,-0.356694,2.061639
8.433249,0.523546,-0.351534,2.041376
8.466582,0.538637,-0.353638,2.018252
8.499915,0.548751,-0.360244,1.993827
